objectid,SHAPE,globalid,RequiredFieldNote,ReviewDate,CrossingInventoryNumber,PrimaryOperatingRR,StateAL,CountyList,CityMunicipalityName,StreetName,BlockNumber,RouteID,Latitude,Longitude,LatLongSource,CrossingType,CrossingPurpose,CrossingPosition,PrivateCrossing,PublicAccess,TypeOfLandUsed,AdjacentCrossing,StateUse31A,StateUse31B,StateUse31C,StateUse31D,NarrativeStateUse,TrackType,TrackTypeCount,SignsOrSignalsYesNo,Crossbuck,StopSign,YieldSign,AdvanceWarningSigns,W101,W102,W103,W104,W1011,W1012,LowGroundClearanceSign,PavementMarkings,ChannelizationDevices,ExemptSign,ENSSign,PrivateCrossingSigns,LEDEnhancedSigns,OtherMUTCDSigns,MUTCD1,MUTCD1Count,MUTCD2,MUTCD2Count,MUTCD3,MUTCD3Count,GateArmsRoadway,GateArmsPed,GateConfiguration,OverTraffLane,NotOverTraffLane,FlashingLightType,MastCount,MastMountedFlashingLights,FlashingLightPairCount,WaysideHorn,WaysideHornInstallationDate,HighwayTrafficSignalsControllingCrossing,BellCount,NonTrainActiveWarning,OtherFlashingLightsOrWarningDevices,OtherFlashingLightsOrWartningDeviceType,NrbyTrafficSignals,HwyTrafficSignalInterconnection,HwyTrafficSignalPreemption,HighwayTrafficPreSignals,StorageDistance,StopLineDistance,HwyMonitoringDevices,TrafficLanesCrossingRR,NumberOfLanes,IsRoadwayPathwayPaved,RunDownStreet,CrossingIlluminated,CrossingSurfaceType,OtherCrossingSurfaceType,CrossingSurfaceInstallationDate,CrossingSurfaceWidth,CrossingSurfaceLength,IntersectingRoadway,IntersectingRdwyApproxDist,SmallestCrossingAngle,CommercialPowerAvailability,HighwaySystem,RuralUrban,FunctionalClassification,StateHwySystem,SpeedLimit,SpeedLimitPosted,AADT,AADTYear,EstimatedPercentTrucks,UsedByBuses,AvgNumPerDay,EmergencySvcsRoute,CreationDate,Creator,EditDate,Editor,processed_data
4,"(-87.53188445299998, 33.14698890600005)",{D9FCAE13-92DF-4762-8326-FEA919174E1D},,2021-02-28 18:00:00,306401Y,ABS,Alabama,Tuscaloosa,Tuscaloosa,Bear Creek Cutoff Rd,,public,33.14698890588314,-87.53188445336475,Actual,PublicCrossing,Highway,AtGrade,No,,Industrial,No,,,,,,Siding,1,Yes,2,0,2,Yes,2,0,0,0,0,0,0,"StopLines,RRXingSymbols",,No,Yes,No,,No,,,,,,,0,0,None,,,,,,,No,,No,,None,,,No,,,No,,,None,TwoWay,2,Yes,No,Yes,Concrete,,,10,26,Yes,<25 ft,Angle2,Yes,NonFederalAid,Rural,MinorArterial,No,35,Posted,0,2019-01-01 06:00:00,,No,,No,2021-02-28 19:45:27.060000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
5,"(-87.56485052799997, 33.178450431000044)",{237A493F-235E-4590-A584-71E17A65511E},,2021-02-28 18:00:00,726140K,NS,Alabama,Tuscaloosa,Tuscaloosa,35th ST,,public ,33.17845043107498,-87.56485052779875,Actual,PublicCrossing,Highway,AtGrade,No,,Industrial,No,,,,,,Main,2,Yes,2,0,0,Yes,2,0,0,0,0,0,0,"RRXingSymbols,StopLines",,No,Yes,No,,Yes,r15-1,2,,0,,0,2,0,None,,,,2,Incandescent,4,Yes,,No,,None,,,Yes,NotInterconnected,,No,,,None,TwoWay,2,Yes,No,No,Asphalt,,,15,28,Yes,,Angle2,Yes,NHS,Urban,MinorArterial,No,45,Posted,0,2019-01-01 06:00:00,,No,,No,2021-02-28 20:18:46.193001,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
6,"(-87.62985569799997, 32.999519355000075)",{F888D4BF-78B8-498B-A233-684806D1BE2C},,2021-02-28 18:00:00,960790G,NS,Alabama,Hale,Moundville,Corr Ave,,public,32.999519355303036,-87.62985569787232,Actual,PublicCrossing,Highway,AtGrade,No,,Institutional,No,,,,,,Main,1,Yes,2,0,0,Yes,2,0,0,0,0,0,0,StopLines,,No,Yes,No,pair,No,,,,,,,2,0,None,,,,2,LED,8,Yes,,No,,None,,,No,,,No,,,None,TwoWay,2,Yes,No,No,,,,,,Yes,25ft,,No,NonFederalAid,Rural,MajorCollector,No,15,Posted,0,2019-01-01 06:00:00,,No,,No,2021-02-28 20:54:31.830000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
7,"(-86.39563049999998, 32.39619600000003)",{DB74BCCF-8981-4F86-9966-CA5E61172FCE},,2021-03-11 18:00:00,306564H,CSX,Alabama,Montgomery,montgomery,hunters loop road,,,32.396196,-86.3956305,Actual,PublicCrossing,Highway,AtGrade,No,,Commercial,No,,,,,,Main,1,Yes,0,0,0,Yes,2,0,1,1,0,0,0,"StopLines,RRXingSymbols",,No,Yes,No,,No,,,,,,,2,0,None,,,,,,,Yes,,No,,None,,,No,,,No,,,None,TwoWay,2,No,No,No,Asphalt,,,24,,Yes,35,Angle2,Yes,FederalAid,Urban,MinorArterial,No,45,Posted,0,2019-01-01 06:00:00,,No,,No,2021-03-11 14:54:22.046000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
8,"(-86.39307129999997, 32.39423470000003)",{3EF8625B-1BFA-4640-9D95-61C03ECCBD4A},,2021-03-11 18:00:00,606565p,Select,Alabama,Select,,,,,32.3942347,-86.3930713,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 14:57:54.984000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
9,"(-86.38901819999995, 32.39039580000008)",{2C74E890-2C90-41C7-9F74-14FC350917BD},,2021-03-11 18:00:00,306566w,Select,Alabama,Select,,,,,32.3903958,-86.3890182,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 15:02:44.201000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
10,"(-86.38606959999998, 32.38795490000007)",{C4128BA7-18BD-4AFB-96A7-87981D7024DB},,2021-03-11 18:00:00,306567d,Select,Alabama,Select,,,,,32.3879549,-86.3860696,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 15:11:24.149000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
11,"(-86.38331499999998, 32.38569750000005)",{CE695074-A735-4439-81AF-A92E696329A7},,2021-03-11 18:00:00,615194m,Select,Alabama,Select,,,,,32.3856975,-86.383315,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 15:16:00.219001,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
12,"(-86.37566589999994, 32.37125890000004)",{15B38B70-B4B2-4B4B-B5FC-ACEBB3835B9A},,2021-03-11 18:00:00,306572a,Select,Alabama,Select,,,,,32.3712589,-86.3756659,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 15:22:20.256000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
13,"(-86.36364239999995, 32.36505230000006)",{5D5E1A3C-87BB-46FA-AAC3-C961D7DE814F},,2021-03-11 18:00:00,306573g,Select,Alabama,Select,,,,,32.3650523,-86.3636424,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 15:34:07.541000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
